160,,2020-09-26 14:33:41.631578,0:00:00.00,
72,,2020-09-26 14:33:41.900347,0:00:00.267769,
69,,2020-09-26 14:33:42.132205,0:00:00.499627,
76,,2020-09-26 14:33:42.346351,0:00:00.713773,
76,,2020-09-26 14:33:42.494975,0:00:00.862397,
79,,2020-09-26 14:33:42.654231,0:00:01.021653,
32,,2020-09-26 14:33:43.390171,0:00:01.757593,
160,,2020-09-26 14:33:43.539338,0:00:01.906760,
87,,2020-09-26 14:33:43.617219,0:00:01.984641,
79,,2020-09-26 14:33:43.724482,0:00:02.091904,
82,,2020-09-26 14:33:43.900022,0:00:02.267444,
76,,2020-09-26 14:33:44.000806,0:00:02.368228,
68,,2020-09-26 14:33:44.124647,0:00:02.492069,
160,,2020-09-26 14:33:44.311695,0:00:02.679117,
49,,2020-09-26 14:33:44.472136,0:00:02.839558,
32,,2020-09-26 14:33:45.088154,0:00:03.455576,
13,,2020-09-26 14:33:45.649667,0:00:04.017089,
160,,2020-09-26 14:33:46.106412,0:00:04.473834,
160,,2020-09-26 14:33:46.614210,0:00:04.981632,
160,,2020-09-26 14:33:46.648076,0:00:05.015498,
160,,2020-09-26 14:33:46.679837,0:00:05.047259,
160,,2020-09-26 14:33:46.713611,0:00:05.081033,
160,,2020-09-26 14:33:46.746643,0:00:05.114065,
160,,2020-09-26 14:33:46.778745,0:00:05.146167,
160,,2020-09-26 14:33:46.811132,0:00:05.178554,
160,,2020-09-26 14:33:46.843974,0:00:05.211396,
160,,2020-09-26 14:33:46.877787,0:00:05.245209,
160,,2020-09-26 14:33:46.910611,0:00:05.278033,
160,,2020-09-26 14:33:46.942947,0:00:05.310369,
160,,2020-09-26 14:33:46.975272,0:00:05.342694,
160,,2020-09-26 14:33:47.007741,0:00:05.375163,
160,,2020-09-26 14:33:47.040165,0:00:05.407587,
160,,2020-09-26 14:33:47.075401,0:00:05.442823,
160,,2020-09-26 14:33:47.106741,0:00:05.474163,
160,,2020-09-26 14:33:47.138459,0:00:05.505881,
160,,2020-09-26 14:33:47.172183,0:00:05.539605,
84,,2020-09-26 14:33:47.176593,0:00:05.544015,
72,,2020-09-26 14:33:47.282780,0:00:05.650202,
65,,2020-09-26 14:33:47.415278,0:00:05.782700,
78,,2020-09-26 14:33:47.497597,0:00:05.865019,
75,,2020-09-26 14:33:47.614609,0:00:05.982031,
